Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
22,out,in,56.95,56.95,-1580.50
31,out,in,55.05,112.00,-1525.45
12,out,in,53.15,165.15,-1472.30
35,out,in,51.25,216.40,-1421.05
4,out,in,49.35,265.75,-1371.70
11,out,in,47.45,313.20,-1324.25
48,out,in,45.55,358.75,-1278.70
58,out,in,43.65,402.40,-1235.05
60,out,in,41.75,444.15,-1193.30
32,out,in,39.85,484.00,-1153.45
39,out,in,36.95,520.95,-1116.50
46,out,in,35.05,556.00,-1081.45
49,out,in,35.15,591.15,-1046.30
53,out,in,31.25,622.40,-1015.05
61,out,in,30.35,652.75,-984.70
2,out,in,27.45,680.20,-957.25
44,out,in,25.55,705.75,-931.70
34,out,in,24.65,730.40,-907.05
55,out,in,21.75,752.15,-885.30
56,out,in,19.85,772.00,-865.45
5,out,in,17.95,789.95,-847.50
3,out,in,15.05,805.00,-832.45
9,out,in,13.15,818.15,-819.30
57,out,in,13.25,831.40,-806.05
6,out,in,12.35,843.75,-793.70
13,out,in,12.45,856.20,-781.25
17,out,in,11.55,867.75,-769.70
41,out,in,7.65,875.40,-762.05
54,out,in,5.75,881.15,-756.30
25,out,in,1.85,883.00,-754.45
3,in,out,0.15,883.15,-754.30
26,out,in,1.85,885.00,-752.45
27,out,in,1.95,886.95,-750.50
55,in,out,1.05,888.00,-749.45
1,out,in,2.95,890.95,-746.50
12,in,out,0.05,891.00,-746.45
19,out,in,0.95,891.95,-745.50
35,in,out,0.05,892.00,-745.45
7,out,in,1.95,893.95,-743.50
4,in,out,0.05,894.00,-743.45
