Verts In,Edges In,Verts Out,Edges Out
1,0,61,158
2,0,60,157
3,0,59,156
4,0,58,155
5,0,57,154
6,0,56,153
7,0,55,152
8,0,54,151
9,0,53,150
10,1,52,148
11,1,51,146
12,1,50,144
13,2,49,143
14,2,48,141
15,3,47,139
16,4,46,136
17,5,45,133
18,7,44,130
19,7,43,128
20,7,42,126
21,8,41,123
22,8,40,120
23,10,39,115
24,14,38,110
25,17,37,107
26,22,36,104
27,28,35,101
28,31,34,99
29,35,33,96
30,36,32,94
29,36,33,97
30,37,32,95
31,40,31,93
30,40,32,95
31,45,31,92
30,45,32,93
31,47,31,91
30,47,32,92
31,50,31,90
30,50,32,91
