in x none,,,,out x none,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,0,0,114,114,0,0,1
2,0,0,113,113,0,0,2
3,0,0,112,112,0,0,3
4,0,0,111,111,0,0,4
5,0,0,110,110,0,0,5
6,0,0,109,109,0,0,6
7,0,0,108,108,0,0,7
8,0,0,107,107,0,0,8
9,0,0,106,106,0,0,9
10,0,0,105,105,0,0,10
11,0,0,104,104,0,0,11
12,0,0,103,103,0,0,12
13,0,0,102,102,0,0,13
14,0,0,101,101,0,0,14
15,0,0,100,100,0,0,15
16,0,0,99,99,0,0,16
17,0,0,98,98,0,0,17
18,0,0,97,97,0,0,18
19,0,0,96,96,0,0,19
20,0,0,95,95,0,0,20
21,0,0,94,94,0,0,21
22,0,0,93,93,0,0,22
23,0,0,92,92,0,0,23
24,0,0,91,91,0,0,24
25,0,0,90,90,0,0,25
26,0,0,89,89,0,0,26
27,0,0,88,88,0,0,27
28,0,0,87,87,0,0,28
29,0,0,86,86,0,0,29
30,0,0,85,85,0,0,30
31,0,0,84,84,0,0,31
32,0,0,83,83,0,0,32
33,0,0,82,82,0,0,33
34,0,0,81,81,0,0,34
35,0,0,80,80,0,0,35
36,0,0,79,79,0,0,36
37,0,0,78,78,0,0,37
38,0,0,77,77,0,0,38
39,0,0,76,76,0,0,39
40,0,0,75,75,0,0,40
41,0,0,74,74,0,0,41
42,0,0,73,73,0,0,42
43,0,0,72,72,0,0,43
44,0,0,71,71,0,0,44
45,0,0,70,70,0,0,45
46,0,0,69,69,0,0,46
47,0,0,68,68,0,0,47
48,0,0,67,67,0,0,48
49,0,0,66,66,0,0,49
50,0,0,65,65,0,0,50
51,0,0,64,64,0,0,51
52,0,0,63,63,0,0,52
53,0,0,62,62,0,0,53
54,0,0,61,61,0,0,54
55,0,0,60,60,0,0,55
56,0,0,59,59,0,0,56
57,0,0,58,58,0,0,57
58,0,0,57,57,0,0,58
57,0,0,58,58,0,0,57
58,0,0,57,57,0,0,58
59,0,0,56,56,0,0,59
58,0,0,57,57,0,0,58
59,0,0,56,56,0,0,59
58,0,0,57,57,0,0,58
59,0,0,56,56,0,0,59
58,0,0,57,57,0,0,58
