Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
42,out,in,101.30,101.30,-5512.95
63,out,in,99.40,200.70,-5413.55
59,out,in,98.50,299.20,-5315.05
97,out,in,98.60,397.80,-5216.45
58,out,in,96.70,494.50,-5119.75
36,out,in,94.80,589.30,-5024.95
112,out,in,90.90,680.20,-4934.05
57,out,in,89.00,769.20,-4845.05
75,out,in,87.10,856.30,-4757.95
44,out,in,86.20,942.50,-4671.75
66,out,in,86.30,1028.80,-4585.45
86,out,in,86.40,1115.20,-4499.05
48,out,in,84.50,1199.70,-4414.55
91,out,in,84.60,1284.30,-4329.95
92,out,in,84.70,1369.00,-4245.25
76,out,in,74.80,1443.80,-4170.45
96,out,in,73.90,1517.70,-4096.55
20,out,in,73.00,1590.70,-4023.55
113,out,in,72.10,1662.80,-3951.45
65,out,in,71.20,1734.00,-3880.25
17,out,in,69.30,1803.30,-3810.95
87,out,in,69.40,1872.70,-3741.55
56,out,in,66.50,1939.20,-3675.05
27,out,in,65.60,2004.80,-3609.45
95,out,in,64.70,2069.50,-3544.75
62,out,in,63.80,2133.30,-3480.95
70,out,in,63.90,2197.20,-3417.05
43,out,in,52.00,2249.20,-3365.05
12,out,in,51.10,2300.30,-3313.95
26,out,in,51.20,2351.50,-3262.75
61,out,in,48.30,2399.80,-3214.45
18,out,in,46.40,2446.20,-3168.05
34,out,in,46.50,2492.70,-3121.55
31,out,in,42.60,2535.30,-3078.95
85,out,in,42.70,2578.00,-3036.25
99,out,in,41.80,2619.80,-2994.45
14,out,in,39.90,2659.70,-2954.55
54,out,in,40.00,2699.70,-2914.55
71,out,in,40.10,2739.80,-2874.45
38,out,in,39.20,2779.00,-2835.25
19,out,in,27.30,2806.30,-2807.95
35,out,in,27.40,2833.70,-2780.55
29,out,in,25.50,2859.20,-2755.05
55,out,in,25.60,2884.80,-2729.45
79,out,in,25.70,2910.50,-2703.75
94,out,in,24.80,2935.30,-2678.95
101,out,in,24.90,2960.20,-2654.05
30,out,in,24.00,2984.20,-2630.05
80,out,in,18.10,3002.30,-2611.95
82,out,in,12.20,3014.50,-2599.75
93,out,in,9.30,3023.80,-2590.45
16,out,in,6.40,3030.20,-2584.05
0,out,in,5.50,3035.70,-2578.55
1,out,in,3.60,3039.30,-2574.95
37,out,in,2.70,3042.00,-2572.25
109,out,in,2.80,3044.80,-2569.45
33,out,in,1.90,3046.70,-2567.55
105,out,in,2.00,3048.70,-2565.55
16,in,out,3.00,3051.70,-2562.55
45,out,in,3.00,3054.70,-2559.55
89,out,in,3.10,3057.80,-2556.45
0,in,out,3.90,3061.70,-2552.55
103,out,in,4.10,3065.80,-2548.45
93,in,out,5.90,3071.70,-2542.55
25,out,in,3.10,3074.80,-2539.45
82,in,out,4.90,3079.70,-2534.55
