Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
12,out,in,30.35,30.35,-424.60
10,out,in,27.45,57.80,-397.15
13,out,in,25.55,83.35,-371.60
17,out,in,23.65,107.00,-347.95
6,out,in,21.75,128.75,-326.20
7,out,in,21.85,150.60,-304.35
5,out,in,18.95,169.55,-285.40
11,out,in,19.05,188.60,-266.35
18,out,in,14.15,202.75,-252.20
1,out,in,12.25,215.00,-239.95
22,out,in,12.35,227.35,-227.60
20,out,in,9.45,236.80,-218.15
2,out,in,7.55,244.35,-210.60
4,out,in,6.65,251.00,-203.95
8,out,in,6.75,257.75,-197.20
14,out,in,3.85,261.60,-193.35
3,out,in,2.95,264.55,-190.40
