in x Mr. Hi,,,,in x Officer,,,,out x Mr. Hi,,,,out x Officer,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,17,0,16,0,16,1,17,16,0,17,1,17,1,16,0
2,17,0,15,0,15,2,17,15,0,17,2,17,2,15,0
3,17,0,14,0,14,3,17,14,0,17,3,17,3,14,0
4,17,0,13,0,13,4,17,13,0,17,4,17,4,13,0
4,16,1,13,1,13,4,16,13,1,16,4,16,4,13,1
5,16,1,12,1,12,5,16,12,1,16,5,16,5,12,1
5,15,2,12,2,12,5,15,12,2,15,5,15,5,12,2
6,15,2,11,2,11,6,15,11,2,15,6,15,6,11,2
7,15,2,10,2,10,7,15,10,2,15,7,15,7,10,2
8,15,2,9,2,9,8,15,9,2,15,8,15,8,9,2
9,15,2,8,2,8,9,15,8,2,15,9,15,9,8,2
10,15,2,7,2,7,10,15,7,2,15,10,15,10,7,2
11,15,2,6,2,6,11,15,6,2,15,11,15,11,6,2
12,15,2,5,2,5,12,15,5,2,15,12,15,12,5,2
13,15,2,4,2,4,13,15,4,2,15,13,15,13,4,2
14,15,2,3,2,3,14,15,3,2,15,14,15,14,3,2
15,15,2,2,2,2,15,15,2,2,15,15,15,15,2,2
16,15,2,1,2,1,16,15,1,2,15,16,15,16,1,2
16,16,1,1,1,1,16,16,1,1,16,16,16,16,1,1
