Nomenclature,Network,Alpha,Player,Initial mode,Initial parameter,Accumulated gain,Absolute gain in %,Initial potential,Final potential,Initial Potential proportion,Final Potential proportion,Initial Verts proportion,Final Verts proportion,Initial Edges proportion,Final Edges proportion,Initial Edges-off proportion,Final Edges-off proportion,Num of iterations,Eficiency to converged state,Eficiency to closest sink,Profit consults,Profitables per consults,Moves per consults,Reach equilibrium,Found new sink,Verbose,Export,Import duration,Run duration,Export duration,Total duration,Started at,Finished at
KAR_0.95_SEQ_r0.5_i25_v47.50_e20.43_abs15.51,karate,0.95,sequential,r,0.5,34.95,15.51,-225.35,-190.4,43.49,42.25,47.06,50.0,20.51,43.59,56.41,12.82,25,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,155,0.16,0.16,yes,not,not,yes,0:00:00,0:00:00.001263,0:00:00.001131,0:00:00.002394,2019-12-10 02:47:13.634816,2019-12-10 02:47:13.637210
KAR_0.95_STO_r0.5_i5_v47.50_e33.35_abs2.34,karate,0.95,stochastic,r,0.5,4.95,2.34,-211.35,-206.4,41.64,47.88,47.06,50.0,33.33,35.9,38.46,33.33,5,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,31,0.16,0.16,yes,yes,not,yes,0:00:00,0:00:00.000705,0:00:00.000384,0:00:00.001089,2019-12-10 02:47:13.639141,2019-12-10 02:47:13.640230
KAR_0.95_GRE_r0.5_i16_v50.50_e24.43_abs15.15,karate,0.95,greedy,r,0.5,34.0,15.15,-224.4,-190.4,49.11,42.42,50.0,50.0,24.36,43.59,56.41,12.82,16,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,544,0.21,0.03,yes,not,not,yes,0:00:00,0:00:00.002053,0:00:00.000254,0:00:00.002307,2019-12-10 02:47:13.642518,2019-12-10 02:47:13.644825
KAR_0.95_PIQ_r0.5_i19_v47.50_e24.34_abs11.8,karate,0.95,pique_pega,r,0.5,26.95,11.8,-228.35,-201.4,41.6,44.76,47.06,50.0,24.36,34.62,60.26,26.92,19,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,162,0.12,0.12,yes,yes,not,yes,0:00:00,0:00:00.001152,0:00:00.000383,0:00:00.001535,2019-12-10 02:47:13.645894,2019-12-10 02:47:13.647429
DAG_0.95_SEQ_r0.5_i5_v40.50_e20.40_abs37.3,dag,0.95,sequential,r,0.5,5.95,37.3,-15.95,-10.0,23.2,34.48,40.0,50.0,20.0,40.0,60.0,10.0,5,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,10,0.5,0.5,yes,not,not,yes,0:00:00,0:00:00.000386,0:00:00.000269,0:00:00.000655,2019-12-10 02:47:13.648864,2019-12-10 02:47:13.649519
DAG_0.95_STO_r0.5_i4_v50.50_e0.30_abs29.41,dag,0.95,stochastic,r,0.5,5.0,29.41,-17.0,-12.0,55.88,38.24,50.0,50.0,0.0,30.0,80.0,30.0,4,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,9,0.44,0.44,yes,not,not,yes,0:00:00,0:00:00.000381,0:00:00.000297,0:00:00.000678,2019-12-10 02:47:13.650634,2019-12-10 02:47:13.651312
DAG_0.95_GRE_r0.5_i1_v60.50_e50.40_abs7.34,dag,0.95,greedy,r,0.5,0.95,7.34,-12.95,-12.0,71.43,42.47,60.0,50.0,50.0,40.0,30.0,30.0,1,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,10,0.1,0.1,yes,not,not,yes,0:00:00,0:00:00.000339,0:00:00.000395,0:00:00.000734,2019-12-10 02:47:13.652240,2019-12-10 02:47:13.652974
DAG_0.95_PIQ_r0.5_i5_v40.50_e10.30_abs19.73,dag,0.95,pique_pega,r,0.5,2.95,19.73,-14.95,-12.0,31.44,43.48,40.0,50.0,10.0,30.0,50.0,30.0,5,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,32,0.16,0.16,yes,not,not,yes,0:00:00,0:00:00.000702,0:00:00.000516,0:00:00.001218,2019-12-10 02:47:13.654222,2019-12-10 02:47:13.655440
2TR_0.95_SEQ_r0.5_i4_v50.50_e14.42_abs108.11,2triangles,0.95,sequential,r,0.5,4.0,108.11,-3.7,0.3,50.0,-4.05,50.0,50.0,14.29,42.86,71.43,14.29,4,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,7,0.57,0.57,yes,not,not,yes,0:00:00,0:00:00.000489,0:00:00.000329,0:00:00.000818,2019-12-10 02:47:13.658774,2019-12-10 02:47:13.659592
2TR_0.95_STO_r0.5_i3_v33.50_e0.42_abs108.22,2triangles,0.95,stochastic,r,0.5,3.95,108.22,-3.65,0.3,26.03,-4.11,33.33,50.0,0.0,42.86,57.14,14.29,3,TO_DO: dist(init-end)/num_moves,TO_DO: dist(init-closest_sink)/num_moves,10,0.3,0.3,yes,not,not,yes,0:00:00,0:00:00.000371,0:00:00.000226,0:00:00.000597,2019-12-10 02:47:13.661289,2019-12-10 02:47:13.661886
