in x 4,,,,in x 0,,,,in x 3,,,,in x 2,,,,in x 1,,,,out x 4,,,,out x 0,,,,out x 3,,,,out x 2,,,,out x 1,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
42,19,0,1,0,15,42,5,0,15,42,5,0,16,42,4,0,15,42,5,1,0,19,42,5,42,15,0,5,42,15,0,4,42,16,0,5,42,15,0
41,19,0,2,0,16,41,5,0,16,41,5,0,17,41,4,0,16,41,5,2,0,19,41,5,41,16,0,5,41,16,0,4,41,17,0,5,41,16,0
40,19,0,3,0,17,40,5,0,17,40,5,0,18,40,4,0,17,40,5,3,0,19,40,5,40,17,0,5,40,17,0,4,40,18,0,5,40,17,0
39,19,0,4,0,18,39,5,0,18,39,5,0,19,39,4,0,18,39,5,4,0,19,39,5,39,18,0,5,39,18,0,4,39,19,0,5,39,18,0
38,19,0,5,0,19,38,5,0,19,38,5,0,20,38,4,0,19,38,5,5,0,19,38,5,38,19,0,5,38,19,0,4,38,20,0,5,38,19,0
37,19,0,6,0,20,37,5,0,20,37,5,0,21,37,4,0,20,37,5,6,0,19,37,5,37,20,0,5,37,20,0,4,37,21,0,5,37,20,0
36,19,0,7,0,21,36,5,0,21,36,5,0,22,36,4,0,21,36,5,7,0,19,36,5,36,21,0,5,36,21,0,4,36,22,0,5,36,21,0
35,19,0,8,0,22,35,5,0,22,35,5,0,23,35,4,0,22,35,5,8,0,19,35,5,35,22,0,5,35,22,0,4,35,23,0,5,35,22,0
34,19,0,9,0,23,34,5,0,23,34,5,0,24,34,4,0,23,34,5,9,0,19,34,5,34,23,0,5,34,23,0,4,34,24,0,5,34,23,0
33,19,0,10,0,24,33,5,0,24,33,5,0,25,33,4,0,24,33,5,10,0,19,33,5,33,24,0,5,33,24,0,4,33,25,0,5,33,24,0
32,19,0,11,0,25,32,5,0,25,32,5,0,26,32,4,0,25,32,5,11,0,19,32,5,32,25,0,5,32,25,0,4,32,26,0,5,32,25,0
31,19,0,12,0,26,31,5,0,26,31,5,0,27,31,4,0,26,31,5,12,0,19,31,5,31,26,0,5,31,26,0,4,31,27,0,5,31,26,0
30,19,0,13,0,27,30,5,0,27,30,5,0,28,30,4,0,27,30,5,13,0,19,30,5,30,27,0,5,30,27,0,4,30,28,0,5,30,27,0
29,19,0,14,0,28,29,5,0,28,29,5,0,29,29,4,0,28,29,5,14,0,19,29,5,29,28,0,5,29,28,0,4,29,29,0,5,29,28,0
30,19,0,13,0,27,30,5,0,27,30,5,0,28,30,4,0,27,30,5,13,0,19,30,5,30,27,0,5,30,27,0,4,30,28,0,5,30,27,0
