Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
32,out,in,48.45,48.45,-1354.25
35,out,in,46.55,95.00,-1307.70
34,out,in,44.65,139.65,-1263.05
52,out,in,43.75,183.40,-1219.30
36,out,in,42.85,226.25,-1176.45
39,out,in,38.95,265.20,-1137.50
38,out,in,38.05,303.25,-1099.45
40,out,in,35.15,338.40,-1064.30
42,out,in,34.25,372.65,-1030.05
51,out,in,31.35,404.00,-998.70
01,out,in,28.45,432.45,-970.25
02,out,in,26.55,459.00,-943.70
03,out,in,24.65,483.65,-919.05
20,out,in,22.75,506.40,-896.30
21,out,in,20.85,527.25,-875.45
22,out,in,18.95,546.20,-856.50
25,out,in,17.05,563.25,-839.45
31,out,in,15.15,578.40,-824.30
44,out,in,13.25,591.65,-811.05
57,out,in,11.35,603.00,-799.70
56,out,in,10.45,613.45,-789.25
04,out,in,6.55,620.00,-782.70
05,out,in,5.65,625.65,-777.05
07,out,in,4.75,630.40,-772.30
06,out,in,2.85,633.25,-769.45
08,out,in,0.95,634.20,-768.50
53,in,out,1.05,635.25,-767.45
09,out,in,0.95,636.20,-766.50
56,in,out,1.05,637.25,-765.45
10,out,in,1.95,639.20,-763.50
20,in,out,0.05,639.25,-763.45
11,out,in,0.95,640.20,-762.50
21,in,out,0.05,640.25,-762.45
