in x Other Associates of Hijackers,,,,in x Flight AA#11 - Crashed into WTC North,,,,in x Flight UA#175 - Crashed into WTC South,,,,in x Flight UA#93 - Crashed into Pennsylvania,,,,in x Flight AA#77 - Crashed into Pentagon,,,,out x Other Associates of Hijackers,,,,out x Flight AA#11 - Crashed into WTC North,,,,out x Flight UA#175 - Crashed into WTC South,,,,out x Flight UA#93 - Crashed into Pennsylvania,,,,out x Flight AA#77 - Crashed into Pentagon,,,
True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
1,19,0,42,0,56,1,5,0,56,1,5,0,57,1,4,0,56,1,5,42,0,19,1,5,1,56,0,5,1,56,0,4,1,57,0,5,1,56,0
2,19,0,41,0,55,2,5,0,55,2,5,0,56,2,4,0,55,2,5,41,0,19,2,5,2,55,0,5,2,55,0,4,2,56,0,5,2,55,0
3,19,0,40,0,54,3,5,0,54,3,5,0,55,3,4,0,54,3,5,40,0,19,3,5,3,54,0,5,3,54,0,4,3,55,0,5,3,54,0
4,19,0,39,0,53,4,5,0,53,4,5,0,54,4,4,0,53,4,5,39,0,19,4,5,4,53,0,5,4,53,0,4,4,54,0,5,4,53,0
5,19,0,38,0,52,5,5,0,52,5,5,0,53,5,4,0,52,5,5,38,0,19,5,5,5,52,0,5,5,52,0,4,5,53,0,5,5,52,0
6,19,0,37,0,51,6,5,0,51,6,5,0,52,6,4,0,51,6,5,37,0,19,6,5,6,51,0,5,6,51,0,4,6,52,0,5,6,51,0
7,19,0,36,0,50,7,5,0,50,7,5,0,51,7,4,0,50,7,5,36,0,19,7,5,7,50,0,5,7,50,0,4,7,51,0,5,7,50,0
8,19,0,35,0,49,8,5,0,49,8,5,0,50,8,4,0,49,8,5,35,0,19,8,5,8,49,0,5,8,49,0,4,8,50,0,5,8,49,0
9,19,0,34,0,48,9,5,0,48,9,5,0,49,9,4,0,48,9,5,34,0,19,9,5,9,48,0,5,9,48,0,4,9,49,0,5,9,48,0
10,19,0,33,0,47,10,5,0,47,10,5,0,48,10,4,0,47,10,5,33,0,19,10,5,10,47,0,5,10,47,0,4,10,48,0,5,10,47,0
11,19,0,32,0,46,11,5,0,46,11,5,0,47,11,4,0,46,11,5,32,0,19,11,5,11,46,0,5,11,46,0,4,11,47,0,5,11,46,0
12,19,0,31,0,45,12,5,0,45,12,5,0,46,12,4,0,45,12,5,31,0,19,12,5,12,45,0,5,12,45,0,4,12,46,0,5,12,45,0
13,19,0,30,0,44,13,5,0,44,13,5,0,45,13,4,0,44,13,5,30,0,19,13,5,13,44,0,5,13,44,0,4,13,45,0,5,13,44,0
14,19,0,29,0,43,14,5,0,43,14,5,0,44,14,4,0,43,14,5,29,0,19,14,5,14,43,0,5,14,43,0,4,14,44,0,5,14,43,0
15,19,0,28,0,42,15,5,0,42,15,5,0,43,15,4,0,42,15,5,28,0,19,15,5,15,42,0,5,15,42,0,4,15,43,0,5,15,42,0
16,19,0,27,0,41,16,5,0,41,16,5,0,42,16,4,0,41,16,5,27,0,19,16,5,16,41,0,5,16,41,0,4,16,42,0,5,16,41,0
17,19,0,26,0,40,17,5,0,40,17,5,0,41,17,4,0,40,17,5,26,0,19,17,5,17,40,0,5,17,40,0,4,17,41,0,5,17,40,0
18,19,0,25,0,39,18,5,0,39,18,5,0,40,18,4,0,39,18,5,25,0,19,18,5,18,39,0,5,18,39,0,4,18,40,0,5,18,39,0
19,19,0,24,0,38,19,5,0,38,19,5,0,39,19,4,0,38,19,5,24,0,19,19,5,19,38,0,5,19,38,0,4,19,39,0,5,19,38,0
20,19,0,23,0,37,20,5,0,37,20,5,0,38,20,4,0,37,20,5,23,0,19,20,5,20,37,0,5,20,37,0,4,20,38,0,5,20,37,0
21,19,0,22,0,36,21,5,0,36,21,5,0,37,21,4,0,36,21,5,22,0,19,21,5,21,36,0,5,21,36,0,4,21,37,0,5,21,36,0
22,19,0,21,0,35,22,5,0,35,22,5,0,36,22,4,0,35,22,5,21,0,19,22,5,22,35,0,5,22,35,0,4,22,36,0,5,22,35,0
23,19,0,20,0,34,23,5,0,34,23,5,0,35,23,4,0,34,23,5,20,0,19,23,5,23,34,0,5,23,34,0,4,23,35,0,5,23,34,0
24,19,0,19,0,33,24,5,0,33,24,5,0,34,24,4,0,33,24,5,19,0,19,24,5,24,33,0,5,24,33,0,4,24,34,0,5,24,33,0
25,19,0,18,0,32,25,5,0,32,25,5,0,33,25,4,0,32,25,5,18,0,19,25,5,25,32,0,5,25,32,0,4,25,33,0,5,25,32,0
26,19,0,17,0,31,26,5,0,31,26,5,0,32,26,4,0,31,26,5,17,0,19,26,5,26,31,0,5,26,31,0,4,26,32,0,5,26,31,0
27,19,0,16,0,30,27,5,0,30,27,5,0,31,27,4,0,30,27,5,16,0,19,27,5,27,30,0,5,27,30,0,4,27,31,0,5,27,30,0
28,19,0,15,0,29,28,5,0,29,28,5,0,30,28,4,0,29,28,5,15,0,19,28,5,28,29,0,5,28,29,0,4,28,30,0,5,28,29,0
29,19,0,14,0,28,29,5,0,28,29,5,0,29,29,4,0,28,29,5,14,0,19,29,5,29,28,0,5,29,28,0,4,29,29,0,5,29,28,0
29,18,1,14,0,27,30,5,1,28,29,4,0,28,30,4,0,27,30,5,14,1,18,29,5,30,27,0,4,29,28,1,4,30,28,0,5,30,27,0
