iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
0,499,0,                      0,501,501,0,                      0,499
1,472,0,                       0,528,528,0,                       0,472
2,473,0,                       0,527,527,0,                       0,473
3,474,0,                       0,526,526,0,                       0,474
4,475,0,                       0,525,525,0,                       0,475
5,476,0,                       0,524,524,0,                       0,476
6,477,0,                       0,523,523,0,                       0,477
7,478,0,                       0,522,522,0,                       0,478
8,479,0,                       0,521,521,0,                       0,479
9,480,0,                       0,520,520,0,                       0,480
10,481,0,                       0,519,519,0,                       0,481
11,482,0,                       0,518,518,0,                       0,482
12,483,0,                       0,517,517,0,                       0,483
13,484,0,                       0,516,516,0,                       0,484
14,485,0,                       0,515,515,0,                       0,485
15,486,0,                       0,514,514,0,                       0,486
16,487,0,                       0,513,513,0,                       0,487
17,488,0,                       0,512,512,0,                       0,488
18,489,0,                       0,511,511,0,                       0,489
19,490,0,                       0,510,510,0,                       0,490
20,491,0,                       0,509,509,0,                       0,491
21,492,0,                       0,508,508,0,                       0,492
22,493,0,                       0,507,507,0,                       0,493
23,494,0,                       0,506,506,0,                       0,494
24,495,0,                       0,505,505,0,                       0,495
25,496,0,                       0,504,504,0,                       0,496
26,497,0,                       0,503,503,0,                       0,497
27,498,0,                       0,502,502,0,                       0,498
28,499,0,                       0,501,501,0,                       0,499
29,500,0,                       0,500,500,0,                       0,500
30,501,0,                       0,499,499,0,                       0,501
31,502,0,                       0,498,498,0,                       0,502
32,501,0,                       0,499,499,0,                       0,501
33,502,0,                       0,498,498,0,                       0,502
34,501,0,                       0,499,499,0,                       0,501
35,502,0,                       0,498,498,0,                       0,502
36,503,0,                       0,497,497,0,                       0,503
37,502,0,                       0,498,498,0,                       0,502
38,501,0,                       0,499,499,0,                       0,501
39,500,0,                       0,500,500,0,                       0,500
40,499,0,                       0,501,501,0,                       0,499
41,500,0,                       0,500,500,0,                       0,500
42,501,0,                       0,499,499,0,                       0,501
43,502,0,                       0,498,498,0,                       0,502
44,501,0,                       0,499,499,0,                       0,501
45,502,0,                       0,498,498,0,                       0,502
46,501,0,                       0,499,499,0,                       0,501
47,500,0,                       0,500,500,0,                       0,500
48,499,0,                       0,501,501,0,                       0,499
49,500,0,                       0,500,500,0,                       0,500
50,501,0,                       0,499,499,0,                       0,501
51,502,0,                       0,498,498,0,                       0,502
52,501,0,                       0,499,499,0,                       0,501
53,500,0,                       0,500,500,0,                       0,500
54,501,0,                       0,499,499,0,                       0,501
55,502,0,                       0,498,498,0,                       0,502
56,501,0,                       0,499,499,0,                       0,501
57,500,0,                       0,500,500,0,                       0,500
58,501,0,                       0,499,499,0,                       0,501
59,502,0,                       0,498,498,0,                       0,502
60,503,0,                       0,497,497,0,                       0,503
61,502,0,                       0,498,498,0,                       0,502
62,501,0,                       0,499,499,0,                       0,501
63,500,0,                       0,500,500,0,                       0,500
64,499,0,                       0,501,501,0,                       0,499
65,498,0,                       0,502,502,0,                       0,498
66,497,0,                       0,503,503,0,                       0,497
67,498,0,                       0,502,502,0,                       0,498
68,499,0,                       0,501,501,0,                       0,499
69,498,0,                       0,502,502,0,                       0,498
70,499,0,                       0,501,501,0,                       0,499
71,500,0,                       0,500,500,0,                       0,500
72,499,0,                       0,501,501,0,                       0,499
73,498,0,                       0,502,502,0,                       0,498
74,497,0,                       0,503,503,0,                       0,497
75,498,0,                       0,502,502,0,                       0,498
76,497,0,                       0,503,503,0,                       0,497
77,498,0,                       0,502,502,0,                       0,498
78,497,0,                       0,503,503,0,                       0,497
79,496,0,                       0,504,504,0,                       0,496
80,497,0,                       0,503,503,0,                       0,497
81,498,0,                       0,502,502,0,                       0,498
82,499,0,                       0,501,501,0,                       0,499
83,500,0,                       0,500,500,0,                       0,500
84,501,0,                       0,499,499,0,                       0,501
85,500,0,                       0,500,500,0,                       0,500
86,499,0,                       0,501,501,0,                       0,499
