iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
1,0,yes,50.15,50.15,-229983.80,+0.02%,529,471,4383,3407,52.90%,                56.26%,55.78%,2,100.00%
2,645,yes,59.25,109.40,-229924.55,+0.03%,528,472,4367,3419,52.80%,                56.09%,55.59%,2,100.00%
3,519,yes,52.35,161.75,-229872.20,+0.02%,527,473,4355,3438,52.70%,                55.88%,55.39%,2,100.00%
4,377,yes,44.45,206.20,-229827.75,+0.02%,526,474,4340,3455,52.60%,                55.68%,55.19%,4,50.00%
5,897,yes,44.55,250.75,-229783.20,+0.02%,525,475,4325,3466,52.50%,                55.51%,54.99%,2,100.00%
6,653,yes,38.65,289.40,-229744.55,+0.02%,524,476,4307,3482,52.40%,                55.30%,54.79%,3,66.67%
7,874,yes,46.75,336.15,-229697.80,+0.02%,523,477,4289,3494,52.30%,                55.11%,54.59%,4,50.00%
8,17,yes,37.85,374.00,-229659.95,+0.02%,522,478,4277,3510,52.20%,                54.92%,54.39%,3,66.67%
9,777,yes,44.95,418.95,-229615.00,+0.02%,521,479,4256,3528,52.10%,                54.68%,54.19%,2,100.00%
10,177,yes,33.05,452.00,-229581.95,+0.01%,520,480,4241,3549,52.00%,                54.44%,53.99%,4,50.00%
11,74,yes,40.15,492.15,-229541.80,+0.02%,519,481,4225,3561,51.90%,                54.26%,53.79%,4,50.00%
12,820,yes,36.25,528.40,-229505.55,+0.02%,518,482,4210,3581,51.80%,                54.04%,53.59%,5,40.00%
13,947,yes,29.35,557.75,-229476.20,+0.01%,517,483,4193,3601,51.70%,                53.80%,53.39%,3,66.67%
14,770,yes,27.45,585.20,-229448.75,+0.01%,516,484,4172,3620,51.60%,                53.54%,53.19%,4,50.00%
15,2,yes,26.55,611.75,-229422.20,+0.01%,515,485,4154,3636,51.50%,                53.32%,53.00%,2,100.00%
16,813,yes,29.65,641.40,-229392.55,+0.01%,514,486,4139,3650,51.40%,                53.14%,52.80%,2,100.00%
17,805,yes,18.75,660.15,-229373.80,+0.01%,513,487,4125,3668,51.30%,                52.93%,52.59%,2,100.00%
18,312,yes,16.85,677.00,-229356.95,+0.01%,512,488,4101,3687,51.20%,                52.66%,52.40%,2,100.00%
19,131,yes,15.95,692.95,-229341.00,+0.01%,511,489,4082,3701,51.10%,                52.45%,52.20%,4,50.00%
20,109,yes,24.05,717.00,-229316.95,+0.01%,510,490,4062,3717,51.00%,                52.22%,52.00%,3,66.67%
21,253,yes,12.15,729.15,-229304.80,+0.01%,509,491,4052,3733,50.90%,                52.05%,51.80%,6,33.33%
22,419,yes,18.25,747.40,-229286.55,+0.01%,508,492,4035,3746,50.80%,                51.86%,51.60%,2,100.00%
23,499,yes,22.35,769.75,-229264.20,+0.01%,507,493,4023,3762,50.70%,                51.68%,51.40%,2,100.00%
24,3,yes,11.45,781.20,-229252.75,+0.00%,506,494,4012,3783,50.60%,                51.47%,51.19%,4,50.00%
25,995,yes,20.55,801.75,-229232.20,+0.01%,505,495,3995,3801,50.50%,                51.24%,51.00%,3,66.67%
26,520,yes,9.65,811.40,-229222.55,+0.00%,504,496,3984,3824,50.40%,                51.02%,50.80%,2,100.00%
27,266,yes,0.75,812.15,-229221.80,+0.00%,503,497,3965,3846,50.30%,                50.76%,50.60%,3,66.67%
28,723,yes,8.85,821.00,-229212.95,+0.00%,502,498,3948,3859,50.20%,                50.57%,50.40%,3,66.67%
29,97,yes,5.95,826.95,-229207.00,+0.00%,501,499,3937,3876,50.10%,                50.39%,50.20%,4,50.00%
30,277,yes,13.05,840.00,-229193.95,+0.01%,500,500,3930,3888,50.00%,                50.27%,49.99%,5,40.00%
31,700,yes,1.15,841.15,-229192.80,+0.00%,499,501,3924,3908,49.90%,                50.10%,49.79%,2,100.00%
