iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
0,158540,0,                      0,158540,158540,0,                      0,158540
1,158441,0,                       0,158639,158639,0,                       0,158441
2,158442,0,                       0,158638,158638,0,                       0,158442
3,158443,0,                       0,158637,158637,0,                       0,158443
4,158444,0,                       0,158636,158636,0,                       0,158444
5,158445,0,                       0,158635,158635,0,                       0,158445
6,158446,0,                       0,158634,158634,0,                       0,158446
7,158447,0,                       0,158633,158633,0,                       0,158447
8,158448,0,                       0,158632,158632,0,                       0,158448
9,158449,0,                       0,158631,158631,0,                       0,158449
10,158450,0,                       0,158630,158630,0,                       0,158450
11,158451,0,                       0,158629,158629,0,                       0,158451
12,158452,0,                       0,158628,158628,0,                       0,158452
13,158453,0,                       0,158627,158627,0,                       0,158453
14,158454,0,                       0,158626,158626,0,                       0,158454
15,158455,0,                       0,158625,158625,0,                       0,158455
16,158456,0,                       0,158624,158624,0,                       0,158456
17,158457,0,                       0,158623,158623,0,                       0,158457
18,158458,0,                       0,158622,158622,0,                       0,158458
19,158459,0,                       0,158621,158621,0,                       0,158459
20,158460,0,                       0,158620,158620,0,                       0,158460
21,158461,0,                       0,158619,158619,0,                       0,158461
22,158462,0,                       0,158618,158618,0,                       0,158462
23,158463,0,                       0,158617,158617,0,                       0,158463
24,158464,0,                       0,158616,158616,0,                       0,158464
25,158465,0,                       0,158615,158615,0,                       0,158465
26,158466,0,                       0,158614,158614,0,                       0,158466
27,158467,0,                       0,158613,158613,0,                       0,158467
28,158468,0,                       0,158612,158612,0,                       0,158468
29,158469,0,                       0,158611,158611,0,                       0,158469
30,158470,0,                       0,158610,158610,0,                       0,158470
31,158471,0,                       0,158609,158609,0,                       0,158471
32,158472,0,                       0,158608,158608,0,                       0,158472
33,158473,0,                       0,158607,158607,0,                       0,158473
34,158474,0,                       0,158606,158606,0,                       0,158474
35,158475,0,                       0,158605,158605,0,                       0,158475
36,158476,0,                       0,158604,158604,0,                       0,158476
37,158477,0,                       0,158603,158603,0,                       0,158477
38,158478,0,                       0,158602,158602,0,                       0,158478
39,158479,0,                       0,158601,158601,0,                       0,158479
40,158480,0,                       0,158600,158600,0,                       0,158480
41,158481,0,                       0,158599,158599,0,                       0,158481
42,158482,0,                       0,158598,158598,0,                       0,158482
43,158483,0,                       0,158597,158597,0,                       0,158483
44,158484,0,                       0,158596,158596,0,                       0,158484
45,158485,0,                       0,158595,158595,0,                       0,158485
46,158486,0,                       0,158594,158594,0,                       0,158486
47,158487,0,                       0,158593,158593,0,                       0,158487
48,158488,0,                       0,158592,158592,0,                       0,158488
49,158489,0,                       0,158591,158591,0,                       0,158489
50,158490,0,                       0,158590,158590,0,                       0,158490
51,158491,0,                       0,158589,158589,0,                       0,158491
52,158492,0,                       0,158588,158588,0,                       0,158492
53,158493,0,                       0,158587,158587,0,                       0,158493
54,158494,0,                       0,158586,158586,0,                       0,158494
55,158495,0,                       0,158585,158585,0,                       0,158495
56,158496,0,                       0,158584,158584,0,                       0,158496
57,158497,0,                       0,158583,158583,0,                       0,158497
58,158498,0,                       0,158582,158582,0,                       0,158498
59,158499,0,                       0,158581,158581,0,                       0,158499
60,158500,0,                       0,158580,158580,0,                       0,158500
61,158501,0,                       0,158579,158579,0,                       0,158501
62,158502,0,                       0,158578,158578,0,                       0,158502
63,158503,0,                       0,158577,158577,0,                       0,158503
64,158504,0,                       0,158576,158576,0,                       0,158504
65,158505,0,                       0,158575,158575,0,                       0,158505
66,158506,0,                       0,158574,158574,0,                       0,158506
