iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
1,2,yes,199.05,199.05,-23877518165.95,+0.00%,158440,158640,259977,265565,49.97%,                49.47%,49.94%,4,50.00%
2,4519,yes,194.15,393.20,-23877517971.80,+0.00%,158441,158639,259995,265557,49.97%,                49.47%,49.94%,2,100.00%
3,33971,yes,166.25,559.45,-23877517805.55,+0.00%,158442,158638,260016,265543,49.97%,                49.47%,49.94%,4,50.00%
4,101215,yes,187.35,746.80,-23877517618.20,+0.00%,158443,158637,260040,265500,49.97%,                49.48%,49.94%,3,66.67%
5,206567,yes,184.45,931.25,-23877517433.75,+0.00%,158444,158636,260046,265498,49.97%,                49.48%,49.94%,5,40.00%
6,7741,yes,181.55,1112.80,-23877517252.20,+0.00%,158445,158635,260049,265498,49.97%,                49.48%,49.94%,7,28.57%
7,7852,yes,175.65,1288.45,-23877517076.55,+0.00%,158446,158634,260053,265496,49.97%,                49.48%,49.94%,2,100.00%
8,8086,yes,179.75,1468.20,-23877516896.80,+0.00%,158447,158633,260081,265466,49.97%,                49.49%,49.94%,4,50.00%
9,9335,yes,175.85,1644.05,-23877516720.95,+0.00%,158448,158632,260106,265445,49.97%,                49.49%,49.94%,2,100.00%
10,12238,yes,168.95,1813.00,-23877516552.00,+0.00%,158449,158631,260119,265434,49.97%,                49.49%,49.94%,3,66.67%
11,13419,yes,168.05,1981.05,-23877516383.95,+0.00%,158450,158630,260136,265414,49.97%,                49.50%,49.94%,3,66.67%
12,14662,yes,186.15,2167.20,-23877516197.80,+0.00%,158451,158629,260152,265396,49.97%,                49.50%,49.94%,3,66.67%
13,15432,yes,169.25,2336.45,-23877516028.55,+0.00%,158452,158628,260193,265373,49.97%,                49.51%,49.94%,3,66.67%
14,16408,yes,169.35,2505.80,-23877515859.20,+0.00%,158453,158627,260204,265365,49.97%,                49.51%,49.95%,3,66.67%
15,18035,yes,163.45,2669.25,-23877515695.75,+0.00%,158454,158626,260241,265333,49.97%,                49.52%,49.95%,4,50.00%
16,22970,yes,161.55,2830.80,-23877515534.20,+0.00%,158455,158625,260242,265333,49.97%,                49.52%,49.95%,3,66.67%
17,27021,yes,152.65,2983.45,-23877515381.55,+0.00%,158456,158624,260265,265311,49.97%,                49.52%,49.95%,2,100.00%
18,27466,yes,159.75,3143.20,-23877515221.80,+0.00%,158457,158623,260301,265269,49.97%,                49.53%,49.95%,2,100.00%
