iteration,yes x none,,,,no x none,,,
iteration,True Positive,True Negative,False Positive,False Negative,True Positive,True Negative,False Positive,False Negative
0,158540,0,                      0,158540,158540,0,                      0,158540
1,158292,0,                       0,158788,158788,0,                       0,158292
2,158293,0,                       0,158787,158787,0,                       0,158293
3,158294,0,                       0,158786,158786,0,                       0,158294
4,158295,0,                       0,158785,158785,0,                       0,158295
5,158296,0,                       0,158784,158784,0,                       0,158296
6,158297,0,                       0,158783,158783,0,                       0,158297
7,158298,0,                       0,158782,158782,0,                       0,158298
8,158299,0,                       0,158781,158781,0,                       0,158299
9,158300,0,                       0,158780,158780,0,                       0,158300
10,158301,0,                       0,158779,158779,0,                       0,158301
11,158302,0,                       0,158778,158778,0,                       0,158302
12,158303,0,                       0,158777,158777,0,                       0,158303
13,158304,0,                       0,158776,158776,0,                       0,158304
14,158305,0,                       0,158775,158775,0,                       0,158305
15,158306,0,                       0,158774,158774,0,                       0,158306
16,158307,0,                       0,158773,158773,0,                       0,158307
17,158308,0,                       0,158772,158772,0,                       0,158308
18,158309,0,                       0,158771,158771,0,                       0,158309
19,158310,0,                       0,158770,158770,0,                       0,158310
20,158311,0,                       0,158769,158769,0,                       0,158311
21,158312,0,                       0,158768,158768,0,                       0,158312
22,158313,0,                       0,158767,158767,0,                       0,158313
23,158314,0,                       0,158766,158766,0,                       0,158314
24,158315,0,                       0,158765,158765,0,                       0,158315
25,158316,0,                       0,158764,158764,0,                       0,158316
26,158317,0,                       0,158763,158763,0,                       0,158317
27,158318,0,                       0,158762,158762,0,                       0,158318
28,158319,0,                       0,158761,158761,0,                       0,158319
29,158320,0,                       0,158760,158760,0,                       0,158320
30,158321,0,                       0,158759,158759,0,                       0,158321
31,158322,0,                       0,158758,158758,0,                       0,158322
32,158323,0,                       0,158757,158757,0,                       0,158323
33,158324,0,                       0,158756,158756,0,                       0,158324
34,158325,0,                       0,158755,158755,0,                       0,158325
35,158326,0,                       0,158754,158754,0,                       0,158326
36,158327,0,                       0,158753,158753,0,                       0,158327
37,158328,0,                       0,158752,158752,0,                       0,158328
38,158329,0,                       0,158751,158751,0,                       0,158329
39,158330,0,                       0,158750,158750,0,                       0,158330
40,158331,0,                       0,158749,158749,0,                       0,158331
41,158332,0,                       0,158748,158748,0,                       0,158332
42,158333,0,                       0,158747,158747,0,                       0,158333
43,158334,0,                       0,158746,158746,0,                       0,158334
44,158335,0,                       0,158745,158745,0,                       0,158335
45,158336,0,                       0,158744,158744,0,                       0,158336
46,158337,0,                       0,158743,158743,0,                       0,158337
47,158338,0,                       0,158742,158742,0,                       0,158338
48,158339,0,                       0,158741,158741,0,                       0,158339
49,158340,0,                       0,158740,158740,0,                       0,158340
50,158341,0,                       0,158739,158739,0,                       0,158341
51,158342,0,                       0,158738,158738,0,                       0,158342
52,158343,0,                       0,158737,158737,0,                       0,158343
53,158344,0,                       0,158736,158736,0,                       0,158344
54,158345,0,                       0,158735,158735,0,                       0,158345
55,158346,0,                       0,158734,158734,0,                       0,158346
56,158347,0,                       0,158733,158733,0,                       0,158347
57,158348,0,                       0,158732,158732,0,                       0,158348
58,158349,0,                       0,158731,158731,0,                       0,158349
59,158350,0,                       0,158730,158730,0,                       0,158350
60,158351,0,                       0,158729,158729,0,                       0,158351
61,158352,0,                       0,158728,158728,0,                       0,158352
62,158353,0,                       0,158727,158727,0,                       0,158353
63,158354,0,                       0,158726,158726,0,                       0,158354
64,158355,0,                       0,158725,158725,0,                       0,158355
65,158356,0,                       0,158724,158724,0,                       0,158356
66,158357,0,                       0,158723,158723,0,                       0,158357
