### PARAMETERS ###
Network,conference
Alpha,0.95
Player,sequential
¹Initial params,{'mode': 'r' and 'param': 0.5}
Verbose,True
Export,True
Commentaries,None

### RESULTS ###
Initial potential,-23877554369.80
Final potential,-23877125876.00
Accumulated gain,+428493.80
²Abs gain in %,+0.00%
Num of iterations,206422
Finished at,2019-08-22 23:34:06.870613
Import duration,0:00:04.438024
Run duration,0:07:52.175057
Export duration,0:00:09.051891
Total duration,0:08:05.664991
Initial Verts proportion,49.93%
Final Verts proportion,50.00%
Initial Edges proportion,50.20%
Final Edges proportion,53.49%
Initial Potential proportion,49.86%
Final Potential proportion,50.00%
Profit consults,142040867
Performance,0.15%
Converged,True
