iteration,node moved,to group,instantaneous gain,accumulated gain,            potential,abs gain %,yes verts,no verts,yes edges,no edges,verts %,            edges %,potential propor %,consults,performance %
1,0,yes,2.95,2.95,-220.40,+1.34%,18,16,15,21,52.94%,                41.67%,59.14%,2,100.00%
2,2,yes,1.05,4.00,-219.35,+0.48%,17,17,8,30,50.00%,                21.05%,55.25%,3,66.67%
3,5,no,2.95,6.95,-216.40,+1.36%,16,18,4,36,47.06%,                10.00%,50.83%,4,50.00%
4,8,yes,2.05,9.00,-214.35,+0.96%,17,17,7,35,50.00%,                16.67%,57.01%,4,50.00%
5,19,yes,0.15,9.15,-214.20,+0.07%,16,18,6,39,47.06%,                13.33%,50.42%,7,28.57%
6,21,no,0.85,10.00,-213.35,+0.40%,15,19,6,42,44.12%,                12.50%,43.94%,2,100.00%
7,30,yes,1.15,11.15,-212.20,+0.54%,16,18,6,40,47.06%,                13.04%,50.90%,3,66.67%
8,20,no,0.85,12.00,-211.35,+0.40%,15,19,6,44,44.12%,                12.00%,44.36%,11,18.18%
9,25,yes,0.15,12.15,-211.20,+0.07%,16,18,6,42,47.06%,                12.50%,51.14%,4,50.00%
10,24,no,1.85,14.00,-209.35,+0.88%,15,19,6,45,44.12%,                11.76%,44.78%,3,66.67%
11,28,yes,0.15,14.15,-209.20,+0.07%,16,18,7,43,47.06%,                14.00%,51.15%,23,8.70%
12,32,no,0.85,15.00,-208.35,+0.41%,15,19,7,46,44.12%,                13.21%,44.52%,2,100.00%
