iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
1,1,yes,5.75,5.75,-226.20,+2.54%,20,14,21,14,58.82%,                60.00%,70.51%,3,66.67%
2,2,yes,4.85,10.60,-221.35,+2.19%,19,15,17,19,55.88%,                47.22%,65.71%,2,100.00%
3,5,yes,0.95,11.55,-220.40,+0.43%,18,16,13,25,52.94%,                34.21%,60.05%,4,50.00%
4,6,yes,1.05,12.60,-219.35,+0.48%,17,17,11,27,50.00%,                28.95%,53.89%,2,100.00%
5,7,yes,1.15,13.75,-218.20,+0.53%,16,18,10,30,47.06%,                25.00%,47.66%,2,100.00%
6,8,no,1.85,15.60,-216.35,+0.86%,15,19,10,34,44.12%,                22.73%,41.48%,2,100.00%
7,33,no,3.95,19.55,-212.40,+1.86%,16,18,12,31,47.06%,                27.91%,48.02%,16,12.50%
8,14,no,1.05,20.60,-211.35,+0.50%,17,17,22,24,50.00%,                47.83%,50.72%,2,100.00%
9,25,no,0.15,20.75,-211.20,+0.07%,18,16,24,24,52.94%,                50.00%,57.46%,7,28.57%
10,26,yes,2.85,23.60,-208.35,+1.37%,19,15,27,24,55.88%,                52.94%,65.01%,4,50.00%
11,4,yes,1.95,25.55,-206.40,+0.94%,18,16,26,25,52.94%,                50.98%,57.82%,6,33.33%
12,10,yes,2.05,27.60,-204.35,+1.00%,17,17,25,27,50.00%,                48.08%,50.99%,6,33.33%
13,9,no,0.95,28.55,-203.40,+0.47%,16,18,25,30,47.06%,                45.45%,43.76%,10,20.00%
14,18,no,1.05,29.60,-202.35,+0.52%,17,17,26,29,50.00%,                47.27%,51.00%,9,22.22%
15,11,yes,1.95,31.55,-200.40,+0.97%,18,16,28,29,52.94%,                49.12%,58.56%,19,10.53%
16,12,yes,1.05,32.60,-199.35,+0.53%,17,17,28,30,50.00%,                48.28%,50.76%,2,100.00%
17,20,no,2.95,35.55,-196.40,+1.50%,16,18,28,32,47.06%,                46.67%,43.79%,17,11.76%
18,29,no,1.05,36.60,-195.35,+0.54%,17,17,30,32,50.00%,                48.39%,50.78%,5,40.00%
19,17,yes,2.95,39.55,-192.40,+1.53%,18,16,33,31,52.94%,                51.56%,58.39%,17,11.76%
20,26,no,1.05,40.60,-191.35,+0.55%,17,17,33,33,50.00%,                50.00%,50.27%,21,9.52%
21,9,yes,0.95,41.55,-190.40,+0.50%,18,16,35,33,52.94%,                51.47%,57.96%,20,10.00%
