### PARAMETERS ###
Network,karate
Alpha,0.95
Player,sequential
¹Initial params,{'mode': 'r' and 'param': 0.5}
Verbose,True
Export,True
Commentaries,None

### RESULTS ###
Initial potential,-219.35
Final potential,-200.35
Accumulated gain,+19.00
²Abs gain in %,+8.66%
Num of iterations,16
Finished at,2019-08-21 20:12:01.271918
Import duration,0:00:00.000836
Run duration,0:00:00.002511
Export duration,0:00:00.004142
Total duration,0:00:00.007500
Initial Verts proportion,52.94%
Final Verts proportion,50.00%
Initial Edges proportion,37.50%
Final Edges proportion,50.00%
Initial Potential proportion,59.43%
Final Potential proportion,50.01%
Profit consults,105
Performance,15.24%
Converged,True
