move, from, to, increased
01, 00, 01, 56.95
02, 00, 01, 55.05
03, 00, 01, 53.15
20, 00, 01, 51.25
21, 00, 01, 49.35
22, 00, 01, 47.45
25, 00, 01, 45.55
31, 00, 01, 43.65
44, 00, 01, 41.75
57, 00, 01, 39.85
04, 00, 01, 36.95
05, 00, 01, 36.05
07, 00, 01, 35.15
06, 00, 01, 33.25
08, 00, 01, 31.35
09, 00, 01, 29.45
10, 00, 01, 28.55
11, 00, 01, 25.65
12, 00, 01, 22.75
13, 00, 01, 20.85
19, 00, 01, 18.95
16, 00, 01, 18.05
17, 00, 01, 18.15
14, 00, 01, 14.25
15, 00, 01, 14.35
18, 00, 01, 12.45
23, 00, 01, 8.55
56, 00, 01, 4.65
24, 00, 01, 2.75
37, 00, 01, 0.85
