move, from, to, increased
01, 00, 01, 1643.45
04, 00, 01, 1586.50
02, 00, 01, 1536.55
03, 00, 01, 1479.60
05, 00, 01, 1422.65
06, 00, 01, 1367.70
07, 00, 01, 1313.75
09, 00, 01, 1259.80
10, 00, 01, 1209.85
08, 00, 01, 1156.90
11, 00, 01, 1100.95
26, 00, 01, 1045.00
30, 00, 01, 997.05
15, 00, 01, 961.10
23, 00, 01, 909.15
12, 00, 01, 855.20
13, 00, 01, 800.25
19, 00, 01, 745.30
16, 00, 01, 698.35
14, 00, 01, 644.40
18, 00, 01, 588.45
17, 00, 01, 532.50
20, 00, 01, 476.55
21, 00, 01, 419.60
22, 00, 01, 362.65
24, 00, 01, 305.70
27, 00, 01, 249.75
25, 00, 01, 196.80
28, 00, 01, 139.85
29, 00, 01, 85.90
53, 00, 01, 32.95
01, 01, 00, 7.00
54, 00, 01, 49.95
55, 00, 01, 2.00
04, 01, 00, 48.95
31, 00, 01, 1.00
02, 01, 00, 55.95
32, 00, 01, 1.00
03, 01, 00, 52.95
33, 00, 01, 4.00
05, 01, 00, 45.95
34, 00, 01, 9.00
06, 01, 00, 42.95
36, 00, 01, 11.00
07, 01, 00, 38.95
43, 00, 01, 15.00
09, 01, 00, 31.95
51, 00, 01, 18.00
10, 01, 00, 35.95
52, 00, 01, 17.00
08, 01, 00, 31.95
56, 00, 01, 24.00
11, 01, 00, 29.95
58, 00, 01, 26.00
26, 01, 00, 26.95
59, 00, 01, 21.00
30, 01, 00, 23.95
35, 00, 01, 12.00
15, 01, 00, 39.95
37, 00, 01, 12.00
23, 01, 00, 43.95
41, 00, 01, 10.00
12, 01, 00, 40.95
38, 00, 01, 14.00
13, 01, 00, 40.95
39, 00, 01, 14.00
19, 01, 00, 39.95
40, 00, 01, 7.00
