move, from, to, increased
30, 00, 01, 35.95
61, 00, 01, 52.05
11, 00, 01, 52.15
19, 00, 01, 43.25
17, 00, 01, 50.35
38, 00, 01, 45.45
45, 00, 01, 43.55
44, 00, 01, 43.65
01, 00, 01, 41.75
24, 00, 01, 38.85
05, 00, 01, 35.95
27, 00, 01, 36.05
42, 00, 01, 32.15
43, 00, 01, 30.25
53, 00, 01, 17.35
47, 00, 01, 27.45
41, 00, 01, 26.55
18, 00, 01, 25.65
34, 00, 01, 21.75
04, 00, 01, 17.85
09, 00, 01, 17.95
23, 00, 01, 16.05
49, 00, 01, 14.15
55, 00, 01, 11.25
07, 00, 01, 14.35
15, 00, 01, 10.45
58, 00, 01, 9.55
52, 00, 01, 5.65
56, 00, 01, 6.75
37, 00, 01, 2.85
12, 00, 01, 1.95
54, 00, 01, 1.05
23, 01, 00, 0.95
28, 00, 01, 1.05
24, 01, 00, 0.95
13, 00, 01, 0.05
17, 01, 00, 0.95
40, 00, 01, 1.05
61, 01, 00, 2.95
38, 01, 00, 0.05
33, 00, 01, 2.95
59, 00, 01, 2.05
09, 01, 00, 0.95
50, 00, 01, 2.05
07, 01, 00, 0.95
16, 00, 01, 1.05
15, 01, 00, 0.95
36, 00, 01, 1.05
40, 01, 00, 0.95
04, 01, 00, 3.05
62, 00, 01, 0.95
19, 01, 00, 0.05
35, 00, 01, 4.95
51, 00, 01, 1.05
62, 01, 00, 0.95
26, 00, 01, 1.05
16, 01, 00, 2.95
40, 00, 01, 1.05
11, 01, 00, 0.95
39, 00, 01, 1.05
13, 01, 00, 1.95
