move, from, to, increased
31, 00, 01, 56.95
22, 00, 01, 55.05
08, 00, 01, 52.15
35, 00, 01, 46.25
32, 00, 01, 48.35
23, 00, 01, 44.45
34, 00, 01, 42.55
09, 00, 01, 38.65
25, 00, 01, 41.75
44, 00, 01, 39.85
41, 00, 01, 31.95
11, 00, 01, 37.05
45, 00, 01, 32.15
18, 00, 01, 31.25
33, 00, 01, 29.35
52, 00, 01, 26.45
02, 00, 01, 26.55
39, 00, 01, 21.65
24, 00, 01, 21.75
21, 00, 01, 20.85
51, 00, 01, 17.95
27, 00, 01, 15.05
03, 00, 01, 15.15
47, 00, 01, 10.25
53, 00, 01, 8.35
16, 00, 01, 6.45
58, 00, 01, 5.55
43, 00, 01, 3.65
26, 00, 01, 4.75
17, 00, 01, 2.85
30, 00, 01, 6.95
03, 01, 00, 0.05
54, 00, 01, 2.95
19, 00, 01, 0.05
39, 01, 00, 4.95
20, 00, 01, 0.05
29, 00, 01, 0.15
45, 01, 00, 1.85
18, 01, 00, 0.95
59, 00, 01, 0.05
08, 01, 00, 0.95
45, 00, 01, 0.05
11, 01, 00, 0.95
13, 00, 01, 0.05
41, 01, 00, 1.95
43, 01, 00, 0.05
18, 00, 01, 0.95
47, 01, 00, 1.05
45, 01, 00, 0.15
36, 00, 01, 6.85
56, 00, 01, 0.95
59, 01, 00, 2.05
15, 00, 01, 2.95
28, 00, 01, 1.05
55, 00, 01, 4.15
17, 01, 00, 0.85
44, 01, 00, 1.95
12, 00, 01, 0.05
