move, from, to, increased
38, 00, 01, 1643.45
07, 00, 01, 1588.50
43, 00, 01, 1534.55
05, 00, 01, 1487.60
51, 00, 01, 1432.65
62, 00, 01, 1378.70
32, 00, 01, 1322.75
25, 00, 01, 1268.80
47, 00, 01, 1211.85
14, 00, 01, 1159.90
22, 00, 01, 1103.95
18, 00, 01, 1047.00
31, 00, 01, 991.05
41, 00, 01, 934.10
50, 00, 01, 883.15
10, 00, 01, 830.20
35, 00, 01, 777.25
20, 00, 01, 725.30
60, 00, 01, 668.35
48, 00, 01, 612.40
08, 00, 01, 558.45
01, 00, 01, 502.50
54, 00, 01, 445.55
26, 00, 01, 397.60
16, 00, 01, 349.65
40, 00, 01, 295.70
34, 00, 01, 243.75
24, 00, 01, 191.80
33, 00, 01, 135.85
42, 00, 01, 85.90
06, 00, 01, 30.95
32, 01, 00, 23.00
56, 00, 01, 30.95
10, 01, 00, 23.00
04, 00, 01, 29.95
40, 01, 00, 20.00
11, 00, 01, 31.95
62, 01, 00, 24.00
32, 00, 01, 31.95
60, 01, 00, 22.00
12, 00, 01, 33.95
26, 01, 00, 21.00
53, 00, 01, 26.95
38, 01, 00, 13.00
49, 00, 01, 41.95
49, 01, 00, 8.00
15, 00, 01, 41.95
11, 01, 00, 10.00
40, 00, 01, 45.95
50, 01, 00, 6.00
50, 00, 01, 46.95
32, 01, 00, 6.00
57, 00, 01, 47.95
20, 01, 00, 9.00
23, 00, 01, 47.95
34, 01, 00, 6.00
60, 00, 01, 45.95
04, 01, 00, 10.00
59, 00, 01, 39.95
25, 01, 00, 5.00
32, 00, 01, 51.95
18, 01, 00, 2.00
21, 00, 01, 53.95
53, 01, 00, 3.00
44, 00, 01, 36.95
16, 01, 00, 20.00
11, 00, 01, 33.95
48, 01, 00, 22.00
29, 00, 01, 31.95
33, 01, 00, 21.00
13, 00, 01, 28.95
57, 01, 00, 26.00
39, 00, 01, 30.95
47, 01, 00, 23.00
10, 00, 01, 28.95
29, 01, 00, 24.00
57, 00, 01, 28.95
21, 01, 00, 28.00
03, 00, 01, 28.95
12, 01, 00, 28.00
62, 00, 01, 26.95
59, 01, 00, 29.00
33, 00, 01, 15.95
15, 01, 00, 34.00
49, 00, 01, 17.95
11, 01, 00, 32.00
52, 00, 01, 23.95
44, 01, 00, 25.00
12, 00, 01, 31.95
42, 01, 00, 23.00
18, 00, 01, 31.95
06, 01, 00, 24.00
27, 00, 01, 29.95
05, 01, 00, 23.00
09, 00, 01, 31.95
14, 01, 00, 18.00
15, 00, 01, 37.95
40, 01, 00, 14.00
28, 00, 01, 37.95
60, 01, 00, 16.00
34, 00, 01, 39.95
34, 01, 00, 12.00
16, 00, 01, 39.95
27, 01, 00, 14.00
25, 00, 01, 38.95
28, 01, 00, 18.00
06, 00, 01, 35.95
03, 01, 00, 18.00
11, 00, 01, 38.95
09, 01, 00, 17.00
58, 00, 01, 32.95
13, 01, 00, 20.00
44, 00, 01, 34.95
62, 01, 00, 22.00
40, 00, 01, 33.95
44, 01, 00, 18.00
05, 00, 01, 38.95
54, 01, 00, 16.00
02, 00, 01, 31.95
50, 01, 00, 25.00
62, 00, 01, 27.95
40, 01, 00, 28.00
44, 00, 01, 23.95
41, 01, 00, 33.00
40, 00, 01, 17.95
11, 01, 00, 34.00
61, 00, 01, 21.95
07, 01, 00, 32.00
13, 00, 01, 21.95
33, 01, 00, 33.00
33, 00, 01, 16.95
31, 01, 00, 33.00
46, 00, 01, 23.95
08, 01, 00, 31.00
21, 00, 01, 24.95
61, 01, 00, 32.00
27, 00, 01, 21.95
35, 01, 00, 31.00
31, 00, 01, 20.95
12, 01, 00, 36.00
28, 00, 01, 18.95
23, 01, 00, 35.00
50, 00, 01, 18.95
24, 01, 00, 34.00
23, 00, 01, 21.95
57, 01, 00, 32.00
59, 00, 01, 24.95
62, 01, 00, 20.00
03, 00, 01, 35.95
40, 01, 00, 21.00
45, 00, 01, 30.95
44, 01, 00, 24.00
41, 00, 01, 32.95
56, 01, 00, 18.00
44, 00, 01, 35.95
28, 01, 00, 21.00
20, 00, 01, 32.95
33, 01, 00, 24.00
08, 00, 01, 25.95
52, 01, 00, 30.00
24, 00, 01, 18.95
50, 01, 00, 37.00
37, 00, 01, 15.95
16, 01, 00, 40.00
19, 00, 01, 13.95
46, 01, 00, 33.00
52, 00, 01, 21.95
32, 01, 00, 27.00
40, 00, 01, 26.95
10, 01, 00, 25.00
60, 00, 01, 27.95
39, 01, 00, 28.00
35, 00, 01, 25.95
02, 01, 00, 26.00
39, 00, 01, 30.95
58, 01, 00, 23.00
32, 00, 01, 29.95
32, 01, 00, 24.00
30, 00, 01, 29.95
05, 01, 00, 6.00
28, 00, 01, 48.95
27, 01, 00, 5.00
16, 00, 01, 47.95
24, 01, 00, 6.00
55, 00, 01, 49.95
45, 01, 00, 1.00
10, 00, 01, 53.95
34, 00, 01, 1.00
06, 01, 00, 50.95
07, 00, 01, 3.00
34, 01, 00, 50.95
17, 00, 01, 1.00
60, 01, 00, 54.95
24, 00, 01, 1.00
52, 01, 00, 54.95
15, 01, 00, 6.00
46, 00, 01, 45.95
51, 01, 00, 9.00
57, 00, 01, 44.95
23, 01, 00, 12.00
33, 00, 01, 41.95
22, 01, 00, 8.00
12, 00, 01, 48.95
40, 01, 00, 6.00
05, 00, 01, 45.95
21, 01, 00, 9.00
34, 00, 01, 47.95
12, 01, 00, 4.00
26, 00, 01, 50.95
42, 00, 01, 3.00
07, 01, 00, 51.95
51, 00, 01, 2.00
57, 01, 00, 51.95
04, 00, 01, 5.00
08, 01, 00, 44.95
22, 00, 01, 11.00
18, 01, 00, 45.95
61, 00, 01, 10.00
49, 01, 00, 43.95
52, 00, 01, 6.00
61, 01, 00, 42.95
48, 00, 01, 11.00
41, 01, 00, 42.95
45, 00, 01, 8.00
22, 01, 00, 46.95
61, 00, 01, 10.00
16, 01, 00, 43.95
50, 00, 01, 10.00
39, 01, 00, 42.95
21, 00, 01, 11.00
55, 01, 00, 45.95
40, 00, 01, 5.00
61, 01, 00, 46.95
22, 00, 01, 7.00
48, 01, 00, 49.95
38, 00, 01, 4.00
28, 01, 00, 50.95
18, 00, 01, 3.00
51, 01, 00, 52.95
58, 00, 01, 1.00
33, 01, 00, 51.95
31, 01, 00, 2.00
28, 00, 01, 54.95
27, 00, 01, 1.00
38, 01, 00, 51.95
39, 00, 01, 3.00
30, 01, 00, 50.95
34, 01, 00, 15.00
15, 00, 01, 36.95
04, 01, 00, 15.00
23, 00, 01, 34.95
27, 01, 00, 19.00
27, 00, 01, 33.95
52, 01, 00, 19.00
04, 00, 01, 29.95
58, 01, 00, 20.00
29, 00, 01, 32.95
22, 01, 00, 20.00
32, 00, 01, 36.95
27, 01, 00, 17.00
47, 00, 01, 35.95
17, 01, 00, 16.00
31, 00, 01, 39.95
28, 01, 00, 17.00
41, 00, 01, 36.95
04, 01, 00, 14.00
14, 00, 01, 35.95
41, 01, 00, 20.00
56, 00, 01, 30.95
15, 01, 00, 23.00
60, 00, 01, 28.95
32, 01, 00, 27.00
55, 00, 01, 26.95
60, 01, 00, 24.00
60, 00, 01, 31.95
05, 01, 00, 24.00
53, 00, 01, 30.95
01, 01, 00, 9.00
32, 00, 01, 47.95
59, 01, 00, 6.00
36, 00, 01, 38.95
36, 01, 00, 11.00
30, 00, 01, 38.95
27, 00, 01, 3.00
35, 01, 00, 49.95
09, 00, 01, 2.00
60, 01, 00, 47.95
52, 00, 01, 8.00
53, 01, 00, 40.95
31, 01, 00, 1.00
53, 00, 01, 55.95
11, 00, 01, 16.00
13, 01, 00, 39.95
01, 00, 01, 15.00
10, 01, 00, 41.95
31, 00, 01, 11.00
32, 01, 00, 45.95
48, 00, 01, 8.00
53, 01, 00, 45.95
46, 01, 00, 6.00
46, 00, 01, 48.95
25, 01, 00, 6.00
02, 00, 01, 50.95
27, 01, 00, 6.00
33, 00, 01, 46.95
23, 01, 00, 3.00
60, 00, 01, 50.95
02, 01, 00, 5.00
34, 00, 01, 51.95
