move, from, to, increased
14, 00, 01, 55.95
43, 00, 01, 45.05
23, 00, 01, 50.15
35, 00, 01, 46.25
52, 00, 01, 43.35
15, 00, 01, 46.45
08, 00, 01, 44.55
42, 00, 01, 43.65
22, 00, 01, 41.75
37, 00, 01, 38.85
31, 00, 01, 37.95
19, 00, 01, 32.05
28, 00, 01, 31.15
41, 00, 01, 32.25
34, 00, 01, 29.35
13, 00, 01, 28.45
54, 00, 01, 17.55
05, 00, 01, 22.65
33, 00, 01, 23.75
49, 00, 01, 19.85
06, 00, 01, 17.95
25, 00, 01, 17.05
59, 00, 01, 11.15
57, 00, 01, 13.25
01, 00, 01, 11.35
39, 00, 01, 6.45
46, 00, 01, 7.55
56, 00, 01, 4.65
12, 00, 01, 5.75
60, 00, 01, 2.85
36, 00, 01, 2.95
59, 01, 00, 2.05
16, 00, 01, 2.95
38, 00, 01, 0.05
49, 01, 00, 2.95
50, 00, 01, 0.05
06, 01, 00, 2.95
45, 00, 01, 0.05
23, 01, 00, 2.95
40, 00, 01, 3.05
43, 01, 00, 1.95
45, 01, 00, 0.05
51, 00, 01, 2.95
56, 01, 00, 1.05
32, 00, 01, 0.95
54, 01, 00, 7.05
