move, from, to, increased
57, 00, 01, 56.95
30, 00, 01, 34.05
34, 00, 01, 50.15
21, 00, 01, 51.25
43, 00, 01, 41.35
49, 00, 01, 42.45
07, 00, 01, 42.55
20, 00, 01, 43.65
03, 00, 01, 41.75
41, 00, 01, 35.85
51, 00, 01, 38.95
29, 00, 01, 34.05
50, 00, 01, 34.15
31, 00, 01, 34.25
14, 00, 01, 29.35
24, 00, 01, 27.45
19, 00, 01, 24.55
18, 00, 01, 25.65
47, 00, 01, 21.75
10, 00, 01, 16.85
11, 00, 01, 17.95
37, 00, 01, 18.05
55, 00, 01, 13.15
46, 00, 01, 15.25
28, 00, 01, 12.35
36, 00, 01, 6.45
33, 00, 01, 8.55
60, 00, 01, 4.65
12, 00, 01, 5.75
53, 00, 01, 2.85
22, 00, 01, 1.95
25, 00, 01, 0.05
36, 01, 00, 0.95
42, 00, 01, 0.05
14, 01, 00, 0.95
10, 01, 00, 4.05
40, 00, 01, 2.95
59, 00, 01, 0.05
11, 01, 00, 0.95
56, 00, 01, 3.05
03, 01, 00, 1.95
58, 00, 01, 0.05
52, 00, 01, 2.15
21, 01, 00, 1.85
19, 01, 00, 1.95
07, 01, 00, 3.05
62, 00, 01, 0.95
24, 01, 00, 1.05
54, 00, 01, 6.95
35, 00, 01, 1.05
32, 00, 01, 1.15
20, 01, 00, 3.85
12, 01, 00, 3.95
44, 00, 01, 0.05
62, 01, 00, 0.95
22, 01, 00, 0.05
61, 00, 01, 2.95
45, 00, 01, 2.05
18, 01, 00, 2.95
27, 00, 01, 0.05
48, 00, 01, 1.15
44, 01, 00, 1.85
26, 00, 01, 1.15
60, 01, 00, 0.85
36, 00, 01, 1.15
25, 01, 00, 1.85
61, 01, 00, 0.95
44, 00, 01, 0.05
